assists,blocked,evenTimeOnIce,evenTimeOnIcePerGame,faceOffPct,gameWinningGoals,games,goals,hits,overTimeGoals,penaltyMinutes,pim,plusMinus,points,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,powerPlayTimeOnIcePerGame,shifts,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,shortHandedTimeOnIcePerGame,shotPct,shots,timeOnIce,timeOnIcePerGame,age,season,id
19,172,1561:44,19:02,0.0,1,82,3,82,0,20,20,1,22,0,1,42:22,00:31,2306,0,1,326:31,03:58,3.6,83,1930:37,23:32,32.0,20142015,8472382
24,129,1530:36,18:39,0.0,3,82,8,87,2,32,32,3,32,3,13,192:46,02:21,2387,0,2,292:03,03:33,6.0,134,2015:25,24:34,31.0,20132014,8472382
12,70,893:02,18:36,0.0,1,48,4,47,0,20,20,12,16,2,6,92:55,01:56,1411,1,1,120:01,02:30,6.3,63,1105:58,23:02,30.0,20122013,8472382
15,96,966:33,17:15,0.0,0,56,1,35,0,16,16,3,16,0,1,24:39,00:26,1406,0,0,101:06,01:48,1.9,53,1092:18,19:30,29.0,20112012,8472382
19,157,1538:05,18:45,0.0,1,82,4,49,0,22,22,-23,23,1,6,105:05,01:16,2334,0,0,190:25,02:19,4.4,91,1833:35,22:21,28.0,20102011,8472382
31,155,1493:46,19:09,0.0,4,78,6,55,0,14,14,9,37,4,15,201:57,02:35,2443,0,1,139:52,01:47,7.0,86,1835:35,23:31,27.0,20092010,8472382
5,43,432:03,15:25,0.0,0,28,0,65,0,17,17,-9,5,0,0,01:13,00:02,577,0,0,67:27,02:24,0.0,31,500:43,17:52,36.0,20172018,8469619
17,146,1267:20,17:21,0.0,0,73,5,154,0,32,32,25,22,0,0,14:08,00:11,1612,0,0,136:41,01:52,5.6,89,1418:09,19:25,35.0,20162017,8469619
11,120,1036:43,16:59,0.0,0,61,1,127,0,24,24,-1,12,0,1,03:06,00:03,1510,0,0,143:26,02:21,1.5,66,1183:15,19:23,34.0,20152016,8469619
11,146,1585:06,19:19,0.0,0,82,3,212,0,34,34,-1,14,0,0,17:16,00:12,2301,0,0,209:54,02:33,2.9,103,1812:16,22:06,33.0,20142015,8469619
9,66,645:28,18:59,0.0,0,34,1,61,0,10,10,11,10,0,0,15:21,00:27,909,0,0,81:40,02:24,1.9,53,742:29,21:50,32.0,20132014,8469619
13,115,898:25,19:31,0.0,2,46,4,115,0,10,10,18,17,0,2,50:04,01:05,1259,0,0,145:59,03:10,4.8,83,1094:28,23:47,31.0,20122013,8469619
18,151,1508:27,18:51,0.0,2,80,5,154,1,39,39,15,23,0,8,208:14,02:36,2203,0,2,206:27,02:34,2.9,174,1923:08,24:02,30.0,20112012,8469619
25,174,1547:49,19:06,0.0,2,81,7,161,0,41,41,3,32,1,11,177:35,02:11,2274,0,0,181:43,02:14,4.2,166,1907:07,23:32,29.0,20102011,8469619
28,215,1434:53,18:09,0.0,1,79,4,166,0,39,39,6,32,2,9,175:59,02:13,2115,0,1,199:53,02:31,2.6,153,1810:45,22:55,28.0,20092010,8469619
14,34,849:09,11:47,49.07,4,72,17,12,1,16,16,19,31,0,0,45:35,00:37,1389,1,1,133:03,01:50,21.8,78,1027:47,14:16,35.0,20182019,8470047
22,55,1105:19,13:38,51.26,4,81,11,25,0,20,20,-7,33,3,4,124:39,01:32,1792,0,2,104:39,01:17,15.7,70,1334:37,16:28,34.0,20172018,8470047
30,39,1087:51,13:46,47.84,1,79,12,26,0,26,26,-1,42,0,7,149:12,01:53,1773,0,0,138:02,01:44,12.4,97,1375:05,17:24,33.0,20162017,8470047
23,25,1054:01,13:52,51.97,2,76,8,30,0,46,46,-6,31,1,8,208:38,02:44,1697,1,1,124:52,01:38,7.9,101,1387:31,18:15,32.0,20152016,8470047
36,29,1181:14,14:24,52.4,0,82,12,25,0,24,24,-14,48,2,17,277:44,03:23,1857,0,0,100:24,01:13,13.2,91,1559:22,19:01,31.0,20142015,8470047
33,33,1165:22,15:32,52.26,2,75,25,33,0,20,20,5,58,6,20,252:24,03:21,1796,0,0,80:44,01:04,19.1,131,1498:30,19:58,30.0,20132014,8470047
8,12,592:19,14:26,55.41,0,41,9,16,0,6,6,-4,17,3,3,111:31,02:43,917,0,0,24:59,00:36,11.5,78,728:49,17:46,29.0,20122013,8470047
43,23,1205:28,14:52,51.74,1,81,23,42,0,14,14,18,66,3,11,199:16,02:27,1871,1,1,74:12,00:54,16.0,144,1478:56,18:15,28.0,20112012,8470047
23,25,995:44,14:01,51.5,5,71,16,30,0,22,22,-1,39,4,8,144:03,02:01,1555,0,0,47:13,00:39,13.9,115,1187:00,16:43,27.0,20102011,8470047
24,25,805:47,14:39,51.65,1,55,11,34,0,24,24,-4,35,1,8,135:23,02:27,1375,1,2,61:41,01:07,9.6,114,1002:51,18:14,26.0,20092010,8470047
8,8,334:12,12:51,40.0,0,26,3,37,0,16,16,3,11,0,0,15:08,00:34,473,0,1,10:34,00:24,8.8,34,359:54,13:50,33.0,20182019,8471217
17,40,942:23,12:54,10.0,2,73,12,76,0,24,24,11,29,0,1,127:00,01:44,1446,1,2,90:49,01:14,10.7,112,1160:12,15:53,32.0,20172018,8471217
8,54,1033:37,13:15,40.0,4,78,23,112,1,45,45,-14,31,3,5,162:45,02:05,1656,1,1,65:20,00:50,16.2,142,1261:42,16:10,31.0,20162017,8471217
21,42,1120:15,14:21,61.53,3,78,25,155,0,45,45,-13,46,10,14,211:27,02:42,1953,2,2,143:37,01:50,13.8,181,1475:19,18:54,30.0,20152016,8471217
38,38,1220:53,15:04,35.0,6,81,24,212,1,72,72,9,62,9,19,259:43,03:12,2152,0,1,145:16,01:47,10.7,224,1625:52,20:04,29.0,20142015,8471217
31,42,1165:54,14:56,38.71,2,78,23,154,0,57,57,8,54,4,12,212:01,02:43,2005,0,2,160:42,02:03,12.2,189,1538:37,19:43,28.0,20132014,8471217
28,26,749:33,15:36,53.7,4,48,18,98,0,22,22,10,46,3,6,127:53,02:39,1162,0,0,67:14,01:24,14.9,121,944:40,19:40,27.0,20122013,8471217
22,25,1263:45,15:24,54.23,6,82,28,76,2,64,64,-8,50,4,12,214:21,02:36,1919,0,0,126:18,01:32,10.6,265,1604:24,19:33,26.0,20112012,8471217
30,45,1226:30,15:08,34.09,2,81,29,68,1,39,39,-10,59,9,18,246:42,03:02,2115,2,3,152:38,01:53,14.9,195,1625:50,20:04,25.0,20102011,8471217
21,33,1065:00,12:59,41.66,1,82,17,104,0,67,67,2,38,0,1,50:10,00:36,1534,0,0,07:47,00:05,11.5,148,1122:57,13:41,24.0,20092010,8471217
15,40,794:37,10:53,44.11,2,73,8,209,0,44,44,6,23,3,3,91:35,01:15,1445,0,1,133:48,01:49,8.4,95,1020:00,13:58,31.0,20182019,8473504
10,53,804:56,10:35,35.0,1,76,8,226,0,53,53,-7,18,0,0,06:20,00:05,1354,1,1,160:41,02:06,7.9,101,971:57,12:47,30.0,20172018,8473504
15,25,758:06,11:29,37.5,1,66,5,222,0,28,28,2,20,0,1,28:27,00:25,1395,0,0,137:16,02:04,4.3,115,923:49,13:59,29.0,20162017,8473504
8,34,757:12,09:50,33.33,5,77,15,288,1,22,22,7,23,0,0,08:22,00:06,1473,2,3,151:58,01:58,18.8,80,917:32,11:54,28.0,20152016,8473504
9,31,846:25,11:08,66.66,4,76,7,343,0,60,60,1,16,0,1,10:54,00:08,1516,2,3,110:01,01:26,5.6,124,967:20,12:43,27.0,20142015,8473504
7,14,820:43,11:14,43.75,1,73,12,270,0,50,50,-9,19,0,0,95:48,01:18,1534,3,4,129:41,01:46,7.0,172,1046:12,14:19,26.0,20132014,8473504
6,17,506:23,12:03,50.0,1,42,4,155,0,27,27,-5,10,0,0,02:10,00:03,886,0,1,68:18,01:37,4.6,87,576:51,13:44,25.0,20122013,8473504
12,31,943:51,12:45,33.33,2,74,15,288,0,103,103,-4,27,3,7,156:34,02:06,1715,4,4,109:58,01:29,9.3,161,1210:23,16:21,24.0,20112012,8473504
15,32,935:05,12:18,27.27,3,76,19,336,0,79,79,-5,34,4,5,159:12,02:05,1642,0,1,110:08,01:26,9.9,191,1204:25,15:50,23.0,20102011,8473504
8,29,904:50,12:13,30.0,1,74,13,318,1,52,52,-8,21,1,1,40:46,00:33,1522,2,2,111:04,01:30,9.6,136,1056:40,14:16,22.0,20092010,8473504
40,32,1176:05,14:20,51.47,4,82,16,19,1,21,21,8,56,2,14,200:57,02:27,1638,1,1,02:50,00:02,12.7,126,1379:52,16:49,29.0,20182019,8474573
53,33,1110:30,14:36,22.0,3,76,18,12,1,17,17,-20,71,5,31,228:44,03:00,1542,0,0,19:57,00:15,11.9,151,1359:11,17:53,28.0,20172018,8474573
43,53,1237:54,15:05,53.33,1,82,13,37,1,12,12,5,56,3,12,232:35,02:50,1840,0,0,35:59,00:26,7.5,173,1506:28,18:22,27.0,20162017,8474573
20,25,1126:21,13:54,41.17,2,81,12,45,1,22,22,-7,32,4,5,115:53,01:25,1678,0,0,41:34,00:30,11.4,105,1283:48,15:50,26.0,20152016,8474573
26,36,1048:12,14:58,45.45,1,70,15,66,0,12,12,3,41,2,4,115:05,01:38,1477,0,0,11:22,00:09,10.7,140,1174:39,16:46,25.0,20142015,8474573
30,29,1044:51,13:34,49.56,1,77,8,44,0,26,26,-8,38,2,10,139:38,01:48,1576,0,0,35:18,00:27,8.2,98,1219:47,15:50,24.0,20132014,8474573
8,22,539:15,14:11,46.66,1,38,11,24,0,6,6,7,19,0,2,48:57,01:17,794,0,0,34:12,00:54,14.5,76,622:24,16:22,23.0,20122013,8474573
19,35,994:57,12:26,43.88,1,80,13,64,0,32,32,-10,32,1,4,96:43,01:12,1529,3,3,125:57,01:34,12.5,104,1217:37,15:13,22.0,20112012,8474573
17,41,915:31,13:04,44.39,2,70,11,47,0,37,37,-13,28,5,9,167:39,02:23,1531,0,3,165:14,02:21,10.8,102,1248:24,17:50,21.0,20102011,8474573
19,36,910:58,12:28,40.14,2,73,16,67,2,18,18,5,35,3,10,155:35,02:07,1420,1,1,39:00,00:32,14.3,112,1105:33,15:08,20.0,20092010,8474573
10,119,1303:27,16:29,0.0,0,79,3,94,0,32,32,-9,13,0,0,02:23,00:01,2061,0,0,228:22,02:53,3.6,84,1534:12,19:25,32.0,20182019,8471686
7,96,1128:11,15:40,0.0,0,72,1,76,0,18,18,11,8,0,0,02:46,00:02,1824,0,0,203:22,02:49,1.5,68,1334:19,18:31,31.0,20172018,8471686
7,97,1236:06,17:10,0.0,0,72,3,89,0,34,34,9,10,0,0,03:26,00:02,1907,0,1,141:10,01:57,4.3,70,1380:42,19:10,30.0,20162017,8471686
13,120,1331:46,17:17,25.0,1,77,2,65,0,36,36,2,15,0,0,08:09,00:06,2102,0,0,175:23,02:16,3.1,65,1515:18,19:40,29.0,20152016,8471686
15,123,1505:27,18:49,50.0,0,80,5,99,0,42,42,18,20,0,0,09:31,00:07,2283,0,2,176:01,02:12,5.2,97,1690:59,21:08,28.0,20142015,8471686
11,84,1306:00,18:08,100.0,0,72,3,83,0,24,24,-1,14,1,1,27:03,00:22,1978,0,1,145:05,02:00,3.3,92,1478:08,20:31,27.0,20132014,8471686
9,36,425:41,20:16,0.0,0,21,2,47,0,14,14,4,11,1,3,21:56,01:02,610,0,0,65:50,03:08,10.0,20,513:27,24:27,26.0,20122013,8471686
3,68,813:12,17:40,0.0,0,46,2,55,0,16,16,-7,5,1,2,22:11,00:28,1087,0,1,79:39,01:43,3.3,61,915:02,19:53,25.0,20112012,8471686
22,109,1537:27,19:58,0.0,2,77,7,140,0,50,50,8,29,4,11,202:49,02:38,2270,2,4,241:39,03:08,6.0,116,1981:55,25:44,24.0,20102011,8471686
19,97,1553:12,18:56,0.0,2,82,8,178,0,44,44,11,27,0,0,54:11,00:39,2375,0,0,289:13,03:31,10.3,78,1896:36,23:07,23.0,20092010,8471686
63,19,1328:49,16:12,57.9,4,82,22,28,1,24,24,9,85,2,23,288:24,03:31,2138,1,1,142:14,01:44,9.6,229,1759:27,21:27,31.0,20182019,8473512
68,23,1319:23,16:05,58.64,1,82,34,30,1,20,20,28,102,9,36,285:14,03:28,2074,0,0,65:11,00:47,17.6,193,1669:48,20:21,30.0,20172018,8473512
44,28,1240:04,15:07,55.89,3,82,14,68,2,38,38,-15,58,5,31,307:05,03:44,2048,0,1,20:53,00:15,7.0,199,1568:02,19:07,29.0,20162017,8473512
45,36,1186:50,15:12,57.46,5,78,22,83,2,53,53,-8,67,6,27,300:39,03:51,2124,1,2,115:08,01:28,9.1,241,1602:37,20:32,28.0,20152016,8473512
48,28,1336:20,16:29,56.6,4,81,25,110,2,36,36,-3,73,14,37,267:36,03:18,2134,0,0,61:50,00:45,9.0,279,1665:46,20:33,27.0,20142015,8473512
58,46,1290:55,15:44,52.89,7,82,28,90,1,46,46,7,86,7,37,307:20,03:44,2062,0,0,77:23,00:56,12.6,223,1675:38,20:26,26.0,20132014,8473512
35,29,757:35,15:46,54.48,2,48,13,57,0,22,22,-7,48,6,21,176:45,03:40,1252,1,1,81:54,01:42,9.5,137,1016:14,21:10,25.0,20122013,8473512
65,44,1185:07,15:23,53.66,5,77,28,70,2,29,29,6,93,6,38,301:21,03:54,1949,0,2,172:26,02:14,11.6,242,1658:54,21:32,24.0,20112012,8473512
51,44,1166:22,14:13,50.04,5,82,25,117,0,47,47,20,76,8,19,251:32,03:04,2065,3,7,172:43,02:06,14.8,169,1590:37,19:23,23.0,20102011,8473512
31,48,1062:38,12:57,49.5,2,82,16,76,0,23,23,-9,47,8,21,226:02,02:45,1787,0,0,73:38,00:53,11.0,145,1362:18,16:36,22.0,20092010,8473512
46,29,1200:35,15:23,40.0,2,78,20,17,0,25,25,-16,66,4,18,253:42,03:15,1777,0,0,02:09,00:01,9.5,210,1456:26,18:40,29.0,20182019,8474161
65,32,1306:56,15:56,44.11,3,82,20,23,1,50,50,10,85,5,35,286:20,03:29,1946,0,0,02:13,00:01,8.8,228,1595:29,19:27,28.0,20172018,8474161
41,22,1268:38,15:28,21.42,3,82,20,30,2,56,56,-24,61,5,23,294:59,03:35,1995,0,0,01:34,00:01,7.9,253,1565:11,19:05,27.0,20162017,8474161
44,34,1095:55,15:00,50.0,2,73,11,51,2,38,38,-5,55,1,23,257:13,03:31,1779,0,0,03:39,00:03,5.2,213,1356:47,18:35,26.0,20152016,8474161
59,28,1253:54,15:17,66.66,3,82,22,55,2,78,78,1,81,11,33,267:44,03:15,1944,0,0,03:00,00:02,10.0,221,1524:38,18:35,25.0,20142015,8474161
39,20,1135:05,13:50,66.66,2,82,23,19,0,22,22,11,62,8,23,275:50,03:21,1823,0,0,04:00,00:02,9.8,235,1414:55,17:15,24.0,20132014,8474161
24,12,653:37,13:37,40.0,3,48,22,20,0,35,35,-7,46,8,17,172:22,03:35,1014,0,0,01:25,00:01,17.1,129,827:24,17:14,23.0,20122013,8474161
31,18,965:11,12:22,30.43,2,78,18,44,0,32,32,11,49,0,11,262:28,03:21,1606,0,0,43:04,00:33,9.5,190,1270:43,16:17,22.0,20112012,8474161
32,22,1118:51,13:59,36.92,2,80,14,55,2,26,26,-3,46,2,8,236:40,02:57,1744,0,0,02:09,00:01,7.7,183,1357:40,16:58,21.0,20102011,8474161
34,17,1058:28,13:04,33.33,1,81,16,63,0,26,26,-7,50,4,13,195:47,02:25,1726,0,0,10:47,00:07,10.4,154,1265:02,15:37,20.0,20092010,8474161
13,31,656:36,09:14,50.0,2,71,7,32,0,14,14,6,20,0,0,02:35,00:02,1307,2,4,158:00,02:13,8.0,87,817:11,11:30,42.0,20182019,8464989
11,42,862:05,10:54,50.35,1,79,11,14,0,20,20,-1,22,0,1,08:39,00:06,1279,0,0,68:45,00:52,10.6,104,939:29,11:53,41.0,20172018,8464989
18,27,807:23,11:12,51.22,2,72,13,36,0,30,30,4,31,2,4,27:05,00:22,1523,2,2,167:40,02:19,14.0,93,1002:08,13:55,40.0,20162017,8464989
16,41,909:33,11:05,55.74,4,82,16,40,0,20,20,5,32,0,0,20:41,00:15,1757,3,6,207:57,02:32,13.6,118,1138:11,13:52,39.0,20152016,8464989
18,18,726:12,11:42,54.0,1,62,7,10,0,16,16,8,25,0,4,30:40,00:29,1165,0,0,49:57,00:48,7.8,90,806:49,13:00,38.0,20142015,8464989
29,22,985:43,12:48,56.73,2,77,10,18,0,32,32,4,39,1,9,172:20,02:14,1557,0,0,35:08,00:27,7.5,134,1193:11,15:29,37.0,20132014,8464989
20,18,529:14,12:36,54.68,0,42,7,18,0,10,10,9,27,0,4,81:46,01:56,969,0,0,56:26,01:20,8.9,79,667:26,15:53,36.0,20122013,8464989
21,39,1055:49,14:27,53.22,0,73,14,46,0,24,24,-10,35,4,9,195:47,02:40,1863,0,0,130:33,01:47,8.5,164,1382:09,18:56,35.0,20112012,8464989
27,36,1005:49,12:53,56.1,2,78,12,39,0,34,34,-14,39,5,21,243:30,03:07,1806,4,4,156:49,02:00,8.0,150,1406:08,18:01,34.0,20102011,8464989
32,48,1048:47,12:56,51.02,2,81,16,75,0,34,34,-7,48,2,12,288:13,03:33,1946,2,3,182:14,02:14,8.2,195,1519:14,18:45,33.0,20092010,8464989
51,33,1044:10,15:21,45.68,5,68,21,54,0,89,89,-25,72,9,26,231:55,03:24,1554,0,0,02:35,00:02,11.2,187,1278:40,18:48,32.0,20182019,8471215
56,32,1189:24,15:14,43.72,7,78,42,48,2,87,87,16,98,14,38,286:22,03:40,1829,0,0,05:27,00:04,17.6,239,1481:13,18:59,31.0,20172018,8471215
39,25,924:21,14:54,43.14,6,62,33,40,1,77,77,18,72,11,23,227:33,03:40,1416,0,0,02:29,00:02,17.3,191,1154:23,18:37,30.0,20162017,8471215
31,19,871:21,15:17,41.98,6,57,27,27,2,65,65,1,58,11,27,217:21,03:48,1351,0,0,15:19,00:16,16.7,162,1104:01,19:22,29.0,20152016,8471215
42,18,1051:42,15:14,42.64,4,69,28,24,1,60,60,-2,70,9,26,251:17,03:38,1579,0,0,06:15,00:05,13.2,212,1309:14,18:58,28.0,20142015,8471215
49,18,927:43,15:27,48.79,3,60,23,27,0,62,62,10,72,7,30,274:28,04:34,1283,0,0,01:34,00:01,12.0,191,1203:45,20:03,27.0,20132014,8471215
24,11,471:11,15:11,47.21,3,31,9,12,0,36,36,5,33,4,18,138:36,04:28,644,0,0,01:00,00:01,9.1,99,610:47,19:42,26.0,20122013,8471215
59,41,1246:45,16:37,47.52,9,75,50,29,1,70,70,18,109,12,34,326:56,04:21,1644,0,0,03:05,00:02,14.7,339,1576:46,21:01,25.0,20112012,8471215
22,11,620:21,14:25,38.5,3,43,15,32,0,18,18,-4,37,5,14,229:26,05:20,859,0,0,02:41,00:03,8.2,182,852:28,19:49,24.0,20102011,8471215
49,25,1048:26,15:38,39.96,7,67,28,58,2,100,100,-6,77,13,28,327:10,04:52,1405,2,3,21:09,00:18,10.4,268,1396:45,20:50,23.0,20092010,8471215
65,43,1360:17,17:13,55.42,3,79,35,85,1,36,36,18,100,12,29,253:17,03:12,2036,0,2,44:47,00:34,15.9,220,1658:21,20:59,31.0,20182019,8471675
60,36,1376:05,16:46,53.02,6,82,29,75,3,46,46,0,89,9,38,299:20,03:39,2106,0,0,21:06,00:15,11.7,247,1696:31,20:41,30.0,20172018,8471675
45,27,1212:14,16:09,48.16,5,75,44,80,1,24,24,17,89,14,25,269:45,03:35,1852,0,0,08:51,00:07,17.3,255,1490:50,19:52,29.0,20162017,8471675
49,35,1308:59,16:21,51.7,9,80,36,90,2,42,42,19,85,10,24,296:16,03:42,2114,0,0,32:18,00:24,14.5,248,1637:33,20:28,28.0,20152016,8471675
56,29,1231:26,15:59,49.9,3,77,28,66,1,47,47,5,84,10,31,278:04,03:36,1924,0,0,28:15,00:22,11.8,237,1537:45,19:58,27.0,20142015,8471675
68,28,1374:25,17:10,52.51,5,80,36,47,1,46,46,18,104,11,38,343:02,04:17,1917,0,0,40:20,00:30,13.9,259,1757:47,21:58,26.0,20132014,8471675
41,18,577:39,16:02,54.31,1,36,15,21,0,16,16,26,56,3,17,157:05,04:21,820,0,0,25:01,00:41,12.1,124,759:45,21:06,25.0,20122013,8471675
29,7,318:13,14:27,50.11,3,22,8,11,0,14,14,15,37,2,11,85:24,03:52,453,0,0,02:46,00:07,10.7,75,406:23,18:28,24.0,20112012,8471675
34,23,656:48,16:01,55.65,3,41,32,31,0,31,31,20,66,10,19,222:28,05:25,930,1,1,19:21,00:28,19.9,161,898:37,21:55,23.0,20102011,8471675
58,43,1300:50,16:03,55.89,6,81,51,63,1,71,71,15,109,13,34,405:35,05:00,1900,2,3,71:54,00:53,17.1,298,1778:19,21:57,22.0,20092010,8471675
12,147,1368:18,16:41,0.0,0,82,1,233,0,41,41,-4,13,1,2,26:48,00:19,2124,0,2,185:44,02:15,1.2,86,1580:50,19:16,32.0,20182019,8471677
8,135,1332:54,17:18,0.0,1,77,3,101,0,22,22,-6,11,0,0,11:06,00:08,1920,0,0,161:04,02:05,3.4,88,1505:04,19:32,31.0,20172018,8471677
18,134,1570:59,19:09,100.0,1,82,5,94,0,32,32,23,23,1,2,20:02,00:14,2296,0,1,198:25,02:25,4.3,116,1789:26,21:49,30.0,20162017,8471677
8,102,1134:43,18:54,0.0,2,60,6,98,0,25,25,-16,14,3,6,142:26,02:22,1683,0,0,173:22,02:53,7.0,86,1450:31,24:10,29.0,20152016,8471677
32,131,1446:43,18:18,0.0,1,79,8,157,1,44,44,-13,40,3,21,214:05,02:42,2133,0,0,248:18,03:08,5.7,141,1909:06,24:09,28.0,20142015,8471677
28,128,1516:41,18:29,0.0,0,82,5,182,0,48,48,-7,33,4,18,263:13,03:12,2111,0,0,243:49,02:58,3.4,147,2023:43,24:40,27.0,20132014,8471677
14,90,860:53,19:33,0.0,1,44,5,66,0,12,12,-5,19,3,8,159:27,03:37,1174,0,0,122:31,02:47,5.2,96,1142:51,25:58,26.0,20122013,8471677
26,129,1463:35,17:50,0.0,5,82,12,107,2,39,39,-7,38,5,17,329:58,04:01,2178,0,0,155:36,01:53,6.8,176,1949:09,23:46,25.0,20112012,8471677
37,133,1504:14,18:20,0.0,0,82,5,84,0,44,44,-21,42,3,28,318:31,03:53,2125,0,1,79:30,00:58,3.3,153,1902:15,23:11,24.0,20102011,8471677
28,86,1456:26,18:12,0.0,0,80,8,144,0,48,48,-15,36,3,13,225:02,02:48,1955,0,0,127:32,01:35,6.2,130,1809:00,22:36,23.0,20092010,8471677
40,111,1336:50,20:34,0.0,3,65,16,116,1,48,48,13,56,2,19,210:33,03:14,1923,1,2,139:58,02:09,7.8,206,1687:21,25:57,32.0,20182019,8471724
42,108,1551:13,19:38,0.0,1,79,9,109,0,56,56,-9,51,4,20,245:11,03:06,2350,0,1,204:34,02:35,4.1,222,2000:58,25:19,31.0,20172018,8471724
29,70,807:43,19:42,0.0,2,41,5,70,1,32,32,2,34,2,14,150:41,03:40,1207,0,1,87:50,02:08,4.1,122,1046:14,25:31,30.0,20162017,8471724
51,122,1465:53,20:38,0.0,2,71,16,135,1,66,66,9,67,5,27,282:26,03:58,2198,0,3,164:47,02:19,7.3,218,1913:06,26:56,29.0,20152016,8471724
43,117,1304:33,18:54,0.0,1,69,11,131,0,79,79,12,54,2,24,262:10,03:47,1949,1,1,192:02,02:46,5.6,197,1758:45,25:29,28.0,20142015,8471724
11,51,685:19,18:31,0.0,1,37,11,43,0,16,16,-8,22,6,12,137:24,03:42,937,0,0,73:56,01:59,10.2,108,896:39,24:14,27.0,20132014,8471724
33,59,658:11,18:48,0.0,1,35,5,45,0,8,8,16,38,1,13,161:54,04:37,901,0,0,77:11,02:12,5.3,95,897:16,25:38,26.0,20122013,8471724
32,86,973:00,19:04,0.0,3,51,10,83,1,34,34,21,42,4,15,209:04,04:05,1299,1,2,84:42,01:39,7.0,142,1266:46,24:50,25.0,20112012,8471724
42,109,1431:16,17:27,100.0,2,82,8,167,1,101,101,15,50,4,24,366:32,04:28,2046,0,1,172:57,02:06,3.4,236,1970:45,24:02,24.0,20102011,8471724
24,95,1267:16,17:21,0.0,0,73,3,117,0,51,51,1,27,0,5,206:19,02:49,1851,0,0,100:20,01:22,1.7,174,1573:55,21:33,23.0,20092010,8471724
55,18,1209:04,14:44,44.44,10,82,27,12,2,28,28,-19,82,12,36,264:57,03:13,1786,0,0,00:12,00:00,12.6,215,1474:13,17:58,31.0,20182019,8473548
58,17,1220:35,14:53,31.57,6,82,34,10,3,36,36,-4,92,12,42,309:31,03:46,1823,0,0,02:09,00:01,13.0,261,1532:15,18:41,30.0,20172018,8473548
47,15,1178:51,14:22,33.33,4,82,23,12,1,20,20,3,70,8,30,291:01,03:32,1797,0,0,01:07,00:00,10.0,229,1470:59,17:56,29.0,20162017,8473548
33,13,1216:55,14:50,40.0,5,82,26,9,1,18,18,9,59,4,17,288:08,03:30,1886,0,0,02:13,00:01,9.5,274,1507:16,18:22,28.0,20152016,8473548
36,13,1237:15,15:05,40.0,4,82,25,18,1,30,30,-34,61,8,25,302:55,03:41,1796,0,0,00:53,00:00,8.9,280,1541:03,18:47,27.0,20142015,8473548
43,30,1435:06,17:30,14.28,6,82,37,25,0,27,27,-5,80,8,20,257:09,03:08,2009,0,0,02:23,00:01,12.1,305,1694:38,20:39,26.0,20132014,8473548
32,23,790:16,16:27,62.5,4,48,20,16,0,18,18,-3,52,6,21,159:11,03:18,1149,0,0,01:26,00:01,12.4,161,950:53,19:48,25.0,20122013,8473548
45,21,1363:00,16:37,32.14,6,82,37,12,0,20,20,-10,82,10,23,274:13,03:20,1874,0,0,07:18,00:05,12.5,295,1644:31,20:03,24.0,20112012,8473548
32,22,1293:49,15:46,40.67,6,82,32,11,1,24,24,-20,64,12,23,307:36,03:45,1826,1,1,09:35,00:07,9.8,325,1611:00,19:38,23.0,20102011,8473548
25,13,1094:44,15:38,48.36,5,70,30,13,1,21,21,-8,55,8,16,270:35,03:51,1516,0,0,02:51,00:02,10.1,297,1368:10,19:32,22.0,20092010,8473548
9,88,1112:53,17:56,0.0,2,62,5,81,0,57,57,22,14,1,3,04:51,00:04,1515,0,0,189:05,03:02,5.1,99,1306:49,21:04,42.0,20182019,8465009
17,118,1377:15,18:51,0.0,3,73,7,141,0,60,60,22,24,0,0,28:17,00:23,1804,0,1,266:25,03:38,4.9,144,1671:57,22:54,41.0,20172018,8465009
19,140,1433:04,19:06,0.0,0,75,10,130,0,59,59,18,29,1,3,34:00,00:27,1958,2,2,282:53,03:46,7.4,136,1749:57,23:19,40.0,20162017,8465009
28,123,1536:41,19:12,0.0,3,80,9,134,0,71,71,12,37,1,10,124:53,01:33,2340,0,2,266:11,03:19,5.7,158,1927:45,24:05,39.0,20152016,8465009
12,99,1146:16,18:11,100.0,0,63,8,125,0,42,42,0,20,4,5,131:49,02:05,1811,0,3,192:50,03:03,5.8,138,1470:55,23:20,38.0,20142015,8465009
23,104,1466:03,19:02,0.0,3,77,17,163,0,66,66,25,40,10,15,187:32,02:26,2196,0,1,244:44,03:10,10.1,168,1898:19,24:39,37.0,20132014,8465009
12,64,925:18,19:16,0.0,2,48,7,101,0,70,70,14,19,3,4,118:01,02:27,1386,0,1,153:37,03:12,5.9,119,1196:56,24:56,36.0,20122013,8465009
40,87,1550:32,19:37,0.0,0,79,12,166,0,86,86,33,52,8,18,210:04,02:39,2261,0,1,214:48,02:43,5.4,224,1975:24,25:00,35.0,20112012,8465009
30,111,1577:56,19:28,0.0,2,81,14,153,0,88,88,33,44,8,15,254:25,03:08,2371,1,2,227:52,02:48,5.3,264,2060:13,25:26,34.0,20102011,8465009
37,104,1559:05,19:29,50.0,1,80,7,151,0,87,87,19,44,4,16,247:31,03:05,2325,0,1,223:13,02:47,2.9,242,2029:49,25:22,33.0,20092010,8465009
