assists,blocked,evenTimeOnIce,evenTimeOnIcePerGame,faceOffPct,gameWinningGoals,games,goals,hits,overTimeGoals,penaltyMinutes,pim,plusMinus,points,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,powerPlayTimeOnIcePerGame,shifts,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,shortHandedTimeOnIcePerGame,shotPct,shots,timeOnIce,timeOnIcePerGame,age,season,id
40,28,1269:23,16:04,52.72,0,79,21,67,0,74,74,-13,61,1,12,263:56,03:20,2065,2,4,69:23,00:52,9.1,230,1602:42,20:17,29.0,20132014,8470595
35,24,779:15,16:14,51.97,4,48,18,35,0,54,54,5,53,3,9,170:49,03:33,1264,1,1,57:44,01:12,11.8,152,1007:48,20:59,28.0,20122013,8470595
46,35,1349:58,16:27,52.46,3,82,24,48,1,48,48,-20,70,7,23,298:19,03:38,2367,3,5,118:36,01:26,9.2,262,1766:53,21:32,27.0,20112012,8470595
43,31,1302:10,16:04,47.97,8,81,33,81,0,72,72,-10,76,12,29,361:19,04:27,2229,3,3,113:37,01:24,11.1,296,1777:06,21:56,26.0,20102011,8470595
41,18,1097:15,15:40,41.82,5,70,29,75,0,68,68,4,70,13,23,294:06,04:12,1758,0,0,58:21,00:50,10.5,277,1449:42,20:42,25.0,20092010,8470595
40,109,1748:36,21:19,100.0,2,82,7,78,0,41,41,-8,47,3,15,251:08,03:03,2222,1,2,189:01,02:18,5.1,136,2188:45,26:41,34.0,20182019,8470600
45,138,1613:40,20:41,0.0,2,78,6,78,0,34,34,-1,51,1,23,240:53,03:05,2108,0,1,234:05,03:00,4.0,149,2088:38,26:46,33.0,20172018,8470600
31,105,1790:49,21:50,0.0,1,82,9,72,0,36,36,34,40,4,12,226:09,02:45,2319,1,2,190:51,02:19,5.5,164,2207:49,26:55,32.0,20162017,8470600
43,142,1882:31,22:57,0.0,2,82,8,69,0,30,30,10,51,3,21,301:45,03:40,2592,1,2,160:21,01:57,4.3,188,2344:37,28:35,31.0,20152016,8470600
36,127,1784:32,23:10,0.0,1,77,2,69,0,48,48,7,38,1,11,294:11,03:49,2389,0,1,158:52,02:03,1.3,150,2237:35,29:03,30.0,20142015,8470600
